2024;2025;AGRUPAMENTO_NATUREZA2;NATUREZA2;AREA;DEPARTAMENTO;SECCIONAL;DP;REGIAO;MUNICIPIO;MES
1;4;ESTUPRO TOTAL;ESTUPRO DE VULNERÁVEL;Capital;DECAP;1ª SEC;001 DP - Sé;CAPITAL;São Paulo;1
773;795;FURTO - OUTROS;FURTO - OUTROS;Capital;DECAP;1ª SEC;001 DP - Sé;CAPITAL;São Paulo;1
22;21;FURTO DE VEÍCULO;FURTO DE VEÍCULO;Capital;DECAP;1ª SEC;001 DP - Sé;CAPITAL;São Paulo;1
;1;HOMICÍDIO DOLOSO;HOMICÍDIO DOLOSO;Capital;DECAP;1ª SEC;001 DP - Sé;CAPITAL;São Paulo;1
;2;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA - OUTRAS;Capital;DECAP;1ª SEC;001 DP - Sé;CAPITAL;São Paulo;1
15;9;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;Capital;DECAP;1ª SEC;001 DP - Sé;CAPITAL;São Paulo;1
46;55;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL DOLOSA;Capital;DECAP;1ª SEC;001 DP - Sé;CAPITAL;São Paulo;1
;1;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO;Capital;DECAP;1ª SEC;001 DP - Sé;CAPITAL;São Paulo;1
285;226;ROUBO - OUTROS TOTAL;ROUBO - OUTROS;Capital;DECAP;1ª SEC;001 DP - Sé;CAPITAL;São Paulo;1
4;2;ROUBO DE VEÍCULO;ROUBO DE VEÍCULO;Capital;DECAP;1ª SEC;001 DP - Sé;CAPITAL;São Paulo;1
1;2;TENTATIVA DE HOMICÍDIO;TENTATIVA DE HOMICÍDIO;Capital;DECAP;1ª SEC;001 DP - Sé;CAPITAL;São Paulo;1
1;;ESTUPRO TOTAL;ESTUPRO DE VULNERÁVEL;Capital;DECAP;1ª SEC;002 DP - Bom Retiro;CAPITAL;São Paulo;1
390;372;FURTO - OUTROS;FURTO - OUTROS;Capital;DECAP;1ª SEC;002 DP - Bom Retiro;CAPITAL;São Paulo;1
10;7;FURTO DE VEÍCULO;FURTO DE VEÍCULO;Capital;DECAP;1ª SEC;002 DP - Bom Retiro;CAPITAL;São Paulo;1
1;;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA - OUTRAS;Capital;DECAP;1ª SEC;002 DP - Bom Retiro;CAPITAL;São Paulo;1
5;2;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;Capital;DECAP;1ª SEC;002 DP - Bom Retiro;CAPITAL;São Paulo;1
15;9;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL DOLOSA;Capital;DECAP;1ª SEC;002 DP - Bom Retiro;CAPITAL;São Paulo;1
112;52;ROUBO - OUTROS TOTAL;ROUBO - OUTROS;Capital;DECAP;1ª SEC;002 DP - Bom Retiro;CAPITAL;São Paulo;1
1;3;ROUBO DE VEÍCULO;ROUBO DE VEÍCULO;Capital;DECAP;1ª SEC;002 DP - Bom Retiro;CAPITAL;São Paulo;1
2;;ESTUPRO TOTAL;ESTUPRO DE VULNERÁVEL;Capital;DECAP;1ª SEC;003 DP - Campos Elísios;CAPITAL;São Paulo;1
516;628;FURTO - OUTROS;FURTO - OUTROS;Capital;DECAP;1ª SEC;003 DP - Campos Elísios;CAPITAL;São Paulo;1
10;12;FURTO DE VEÍCULO;FURTO DE VEÍCULO;Capital;DECAP;1ª SEC;003 DP - Campos Elísios;CAPITAL;São Paulo;1
2;;HOMICÍDIO DOLOSO;HOMICÍDIO DOLOSO;Capital;DECAP;1ª SEC;003 DP - Campos Elísios;CAPITAL;São Paulo;1
;1;LATROCÍNIO;LATROCÍNIO;Capital;DECAP;1ª SEC;003 DP - Campos Elísios;CAPITAL;São Paulo;1
3;5;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;Capital;DECAP;1ª SEC;003 DP - Campos Elísios;CAPITAL;São Paulo;1
34;42;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL DOLOSA;Capital;DECAP;1ª SEC;003 DP - Campos Elísios;CAPITAL;São Paulo;1
3;;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO;Capital;DECAP;1ª SEC;003 DP - Campos Elísios;CAPITAL;São Paulo;1
;1;Nº DE VÍTIMAS EM LATROCÍNIO;Nº DE VÍTIMAS EM LATROCÍNIO;Capital;DECAP;1ª SEC;003 DP - Campos Elísios;CAPITAL;São Paulo;1
396;235;ROUBO - OUTROS TOTAL;ROUBO - OUTROS;Capital;DECAP;1ª SEC;003 DP - Campos Elísios;CAPITAL;São Paulo;1
;1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;003 DP - Campos Elísios;CAPITAL;São Paulo;1
;2;ROUBO DE VEÍCULO;ROUBO DE VEÍCULO;Capital;DECAP;1ª SEC;003 DP - Campos Elísios;CAPITAL;São Paulo;1
1;4;TENTATIVA DE HOMICÍDIO;TENTATIVA DE HOMICÍDIO;Capital;DECAP;1ª SEC;003 DP - Campos Elísios;CAPITAL;São Paulo;1
1;1;ESTUPRO TOTAL;ESTUPRO DE VULNERÁVEL;Capital;DECAP;1ª SEC;004 DP - Consolação;CAPITAL;São Paulo;1
511;590;FURTO - OUTROS;FURTO - OUTROS;Capital;DECAP;1ª SEC;004 DP - Consolação;CAPITAL;São Paulo;1
18;14;FURTO DE VEÍCULO;FURTO DE VEÍCULO;Capital;DECAP;1ª SEC;004 DP - Consolação;CAPITAL;São Paulo;1
6;6;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;Capital;DECAP;1ª SEC;004 DP - Consolação;CAPITAL;São Paulo;1
26;20;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL DOLOSA;Capital;DECAP;1ª SEC;004 DP - Consolação;CAPITAL;São Paulo;1
261;142;ROUBO - OUTROS TOTAL;ROUBO - OUTROS;Capital;DECAP;1ª SEC;004 DP - Consolação;CAPITAL;São Paulo;1
1;1;ESTUPRO TOTAL;ESTUPRO DE VULNERÁVEL;Capital;DECAP;1ª SEC;005 DP - Aclimação;CAPITAL;São Paulo;1
318;298;FURTO - OUTROS;FURTO - OUTROS;Capital;DECAP;1ª SEC;005 DP - Aclimação;CAPITAL;São Paulo;1
64;42;FURTO DE VEÍCULO;FURTO DE VEÍCULO;Capital;DECAP;1ª SEC;005 DP - Aclimação;CAPITAL;São Paulo;1
9;6;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;Capital;DECAP;1ª SEC;005 DP - Aclimação;CAPITAL;São Paulo;1
27;45;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL DOLOSA;Capital;DECAP;1ª SEC;005 DP - Aclimação;CAPITAL;São Paulo;1
139;82;ROUBO - OUTROS TOTAL;ROUBO - OUTROS;Capital;DECAP;1ª SEC;005 DP - Aclimação;CAPITAL;São Paulo;1
1;;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;005 DP - Aclimação;CAPITAL;São Paulo;1
2;;ROUBO DE VEÍCULO;ROUBO DE VEÍCULO;Capital;DECAP;1ª SEC;005 DP - Aclimação;CAPITAL;São Paulo;1
1;2;ESTUPRO TOTAL;ESTUPRO DE VULNERÁVEL;Capital;DECAP;1ª SEC;006 DP - Cambuci;CAPITAL;São Paulo;1
207;246;FURTO - OUTROS;FURTO - OUTROS;Capital;DECAP;1ª SEC;006 DP - Cambuci;CAPITAL;São Paulo;1
68;80;FURTO DE VEÍCULO;FURTO DE VEÍCULO;Capital;DECAP;1ª SEC;006 DP - Cambuci;CAPITAL;São Paulo;1
;1;HOMICÍDIO DOLOSO;HOMICÍDIO DOLOSO;Capital;DECAP;1ª SEC;006 DP - Cambuci;CAPITAL;São Paulo;1
1;1;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA - OUTRAS;Capital;DECAP;1ª SEC;006 DP - Cambuci;CAPITAL;São Paulo;1
7;9;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;Capital;DECAP;1ª SEC;006 DP - Cambuci;CAPITAL;São Paulo;1
17;33;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL DOLOSA;Capital;DECAP;1ª SEC;006 DP - Cambuci;CAPITAL;São Paulo;1
;1;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO;Capital;DECAP;1ª SEC;006 DP - Cambuci;CAPITAL;São Paulo;1
73;69;ROUBO - OUTROS TOTAL;ROUBO - OUTROS;Capital;DECAP;1ª SEC;006 DP - Cambuci;CAPITAL;São Paulo;1
5;;ROUBO DE VEÍCULO;ROUBO DE VEÍCULO;Capital;DECAP;1ª SEC;006 DP - Cambuci;CAPITAL;São Paulo;1
2;2;ESTUPRO TOTAL;ESTUPRO;Capital;DECAP;1ª SEC;008 DP - Brás;CAPITAL;São Paulo;1
3;;ESTUPRO TOTAL;ESTUPRO DE VULNERÁVEL;Capital;DECAP;1ª SEC;008 DP - Brás;CAPITAL;São Paulo;1
370;393;FURTO - OUTROS;FURTO - OUTROS;Capital;DECAP;1ª SEC;008 DP - Brás;CAPITAL;São Paulo;1
28;38;FURTO DE VEÍCULO;FURTO DE VEÍCULO;Capital;DECAP;1ª SEC;008 DP - Brás;CAPITAL;São Paulo;1
;1;HOMICÍDIO DOLOSO;HOMICÍDIO DOLOSO;Capital;DECAP;1ª SEC;008 DP - Brás;CAPITAL;São Paulo;1
;2;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA - OUTRAS;Capital;DECAP;1ª SEC;008 DP - Brás;CAPITAL;São Paulo;1
15;16;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;Capital;DECAP;1ª SEC;008 DP - Brás;CAPITAL;São Paulo;1
43;47;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL DOLOSA;Capital;DECAP;1ª SEC;008 DP - Brás;CAPITAL;São Paulo;1
;1;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO;Capital;DECAP;1ª SEC;008 DP - Brás;CAPITAL;São Paulo;1
73;102;ROUBO - OUTROS TOTAL;ROUBO - OUTROS;Capital;DECAP;1ª SEC;008 DP - Brás;CAPITAL;São Paulo;1
;2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;008 DP - Brás;CAPITAL;São Paulo;1
4;6;ROUBO DE VEÍCULO;ROUBO DE VEÍCULO;Capital;DECAP;1ª SEC;008 DP - Brás;CAPITAL;São Paulo;1
;2;ESTUPRO TOTAL;ESTUPRO DE VULNERÁVEL;Capital;DECAP;1ª SEC;012 DP - Pari;CAPITAL;São Paulo;1
515;727;FURTO - OUTROS;FURTO - OUTROS;Capital;DECAP;1ª SEC;012 DP - Pari;CAPITAL;São Paulo;1
29;29;FURTO DE VEÍCULO;FURTO DE VEÍCULO;Capital;DECAP;1ª SEC;012 DP - Pari;CAPITAL;São Paulo;1
1;;HOMICÍDIO DOLOSO;HOMICÍDIO DOLOSO;Capital;DECAP;1ª SEC;012 DP - Pari;CAPITAL;São Paulo;1
;1;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA - OUTRAS;Capital;DECAP;1ª SEC;012 DP - Pari;CAPITAL;São Paulo;1
13;16;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;Capital;DECAP;1ª SEC;012 DP - Pari;CAPITAL;São Paulo;1
21;28;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL DOLOSA;Capital;DECAP;1ª SEC;012 DP - Pari;CAPITAL;São Paulo;1
1;;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO;Capital;DECAP;1ª SEC;012 DP - Pari;CAPITAL;São Paulo;1
167;178;ROUBO - OUTROS TOTAL;ROUBO - OUTROS;Capital;DECAP;1ª SEC;012 DP - Pari;CAPITAL;São Paulo;1
6;4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;012 DP - Pari;CAPITAL;São Paulo;1
3;4;ROUBO DE VEÍCULO;ROUBO DE VEÍCULO;Capital;DECAP;1ª SEC;012 DP - Pari;CAPITAL;São Paulo;1
2;1;TENTATIVA DE HOMICÍDIO;TENTATIVA DE HOMICÍDIO;Capital;DECAP;1ª SEC;012 DP - Pari;CAPITAL;São Paulo;1
339;405;FURTO - OUTROS;FURTO - OUTROS;Capital;DECAP;1ª SEC;077 DP - Santa Cecília;CAPITAL;São Paulo;1
14;19;FURTO DE VEÍCULO;FURTO DE VEÍCULO;Capital;DECAP;1ª SEC;077 DP - Santa Cecília;CAPITAL;São Paulo;1
;2;HOMICÍDIO DOLOSO;HOMICÍDIO DOLOSO;Capital;DECAP;1ª SEC;077 DP - Santa Cecília;CAPITAL;São Paulo;1
3;;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA - OUTRAS;Capital;DECAP;1ª SEC;077 DP - Santa Cecília;CAPITAL;São Paulo;1
3;2;LESÃO CORPORAL CULPOSA - OUTRAS;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;Capital;DECAP;1ª SEC;077 DP - Santa Cecília;CAPITAL;São Paulo;1
26;20;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL DOLOSA;Capital;DECAP;1ª SEC;077 DP - Santa Cecília;CAPITAL;São Paulo;1
;1;LESÃO CORPORAL SEGUIDA DE MORTE;LESÃO CORPORAL SEGUIDA DE MORTE;Capital;DECAP;1ª SEC;077 DP - Santa Cecília;CAPITAL;São Paulo;1
;2;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO;Capital;DECAP;1ª SEC;077 DP - Santa Cecília;CAPITAL;São Paulo;1
174;109;ROUBO - OUTROS TOTAL;ROUBO - OUTROS;Capital;DECAP;1ª SEC;077 DP - Santa Cecília;CAPITAL;São Paulo;1
1;;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;077 DP - Santa Cecília;CAPITAL;São Paulo;1
1;;ROUBO DE VEÍCULO;ROUBO DE VEÍCULO;Capital;DECAP;1ª SEC;077 DP - Santa Cecília;CAPITAL;São Paulo;1
1;1;TENTATIVA DE HOMICÍDIO;TENTATIVA DE HOMICÍDIO;Capital;DECAP;1ª SEC;077 DP - Santa Cecília;CAPITAL;São Paulo;1
;1;ESTUPRO TOTAL;ESTUPRO;Capital;DECAP;1ª SEC;078 DP - Jardins;CAPITAL;São Paulo;1
702;745;FURTO - OUTROS;FURTO - OUTROS;Capital;DECAP;1ª SEC;078 DP - Jardins;CAPITAL;São Paulo;1
